id,user_id,name,contact_no,city,state,pin_code,address,map_link,created_at,updated_at
3,1,"warehouse 3",1111111111,ghaziabad,"uttar pradesh",201017,ghaziabad,https://yyyyy,2024-02-14T01:05:20.000000Z,2024-02-14T01:05:20.000000Z
4,7,Delhi,7654325678,delhi,delhi,110057,"Basant Lok, Vasant Vihar","https://www.google.com/maps/@28.6425088,77.4078464,12z?entry=ttu",2024-02-14T03:11:18.000000Z,2024-02-14T03:11:18.000000Z
5,7,"MobileVan dl1234",9876543210,delhi,delhi,654321,GreenPark,www.hbxcja.c,2024-02-22T08:15:42.000000Z,2024-02-22T08:15:42.000000Z
6,13,"SHIV SHAKTI TRADING COMPANY",9627844400,ROORKEE,UTTARAKHAND,247667,"SHOP NO.B-8, NEW ANAJ MANDI, RAMPUR CHUNGI,",https://maps.app.goo.gl/gmpwPbno4hqhWp4G6,2024-02-22T14:24:03.000000Z,2024-02-22T14:24:03.000000Z
7,13,UK06CB0694,9568323156,RUDRAPUR,UTTARAKHAND,263148,"KICHHA ROAD",https://maps.app.goo.gl/qZxaakhXKsizSXYC6,2024-02-22T14:55:03.000000Z,2024-02-22T14:55:03.000000Z
8,13,UK06CA6074,7385775220,RUDRAPUR,UTTARAKHAND,263148,KICHHA,https://maps.app.goo.gl/bH99ciygXimS5AbJ8,2024-02-22T15:27:51.000000Z,2024-02-22T15:27:51.000000Z
9,13,"PREM CHAND AND SONS, MANGLORE",9897274207,MANGLAUR,UTTARAKHAND,247656,"G T ROAD, P O MANGLAUR TOWN, TEHSIL- ROORKEE",https://maps.app.goo.gl/6NH1RiA7gSKsMAQU6,2024-02-23T10:10:42.000000Z,2024-02-23T10:10:42.000000Z
10,27,Lucknow,9797979797,Lucknow,UP,45856,"qwqwqwqq delhi",msbcauk.com,2024-02-24T09:10:06.000000Z,2024-02-24T09:10:06.000000Z
11,21,"NCCF NEHRU PLACE WEARHOUSE",9971426537,"NEW DELHI",DELHI,110019,"B-1-A-95 , VISHAL BHAWAN , NEHRU PLACE  , NEW DELHI","https://www.google.com/maps/place/28%C2%B032'53.3%22N+77%C2%B015'08.5%22E/@28.5481358,77.2497902,17z/data=!3m1!4b1!4m4!3m3!8m2!3d28.5481358!4d77.2523651?hl=en&entry=ttu",2024-02-24T10:08:22.000000Z,2024-02-24T10:08:22.000000Z
12,21,"NCCF NOIDA WAREHOUSE",9582415506,NOIDA,"Uttar Pradesh",201306,"PLOT NO 45 , VILLAGE MALAKPUR , NOIDA","https://www.google.com/maps/place/28%C2%B030'25.1%22N+77%C2%B027'52.6%22E/@28.5069826,77.4620314,17z/data=!3m1!4b1!4m4!3m3!8m2!3d28.5069826!4d77.4646063?hl=en&entry=ttu",2024-02-24T10:18:41.000000Z,2024-02-24T10:18:41.000000Z
